Urinary OH-PAHs,Study cohort,Method/sample workup,Major findings,Reference
"OH-Pyr, 1-OH-Nap, 2-OH-Flu, OH-Phe, 3-OH-B[a]P, 1-OH-Ace",Structural firefighters (n = 96 nonexposed; 57 exposed),LC-FLD (solid-phase extraction of 10 mL of urine),Median levels of total OH-PAHs reported as 1.7- to 35-fold higher exposure than in nonexposed controls. OH-Pyr was the least abundant one of the 6 urinary OH-PAHs.,Oliveira et al. (2016)
"OH-Pyr, 1-OH-Nap, 2-OH-Flu, OH-Phe, 3-OH-B[a]P, 1-OH-Ace",Structural firefighters (8 fire stations),LC-FLD (solid-phase extraction of 10 mL of urine),Positive correlations reported between ambient PAHs and urinary OH-PAHs for firefighters at 4 of 8 fire stations. Postshift urinary OH-Pyr levels were below that suggested by the American Conference of Government Industrial Hygienists.,Oliveira et al. (2017)
"OH-Pyr, 1-OH-Nap, 2-OH-Flu, OH-Phe, 3-OH-B[a]P, 1-OH-Ace",Wildland firefighters (n = 108),LC-FLD (solid-phase extraction of 10 mL of urine),"Total OH-PAHs increased by 76â€“412% after regular tobacco consumption. Fire combat resulted in increases of 158â€“551%. 2-OH-Flu was most affected by fire combat, while 1-OH-Nap and 1-OH-Ace were most pronounced in tobacco smokers.",Oliveira et al. (2017)
"OH-Pyr, 1-OH-Nap, 2-OH-Flu, OH-Phe, 3-OH-B[a]P, 1-OH-Ace",Structural firefighters (n = 15 nonexposed; 18 exposed),LC-FLD (solid-phase extraction of 10 mL of urine),"Total OH-PAHs were 1.96-fold higher in exposed firefighters, with 1-OH-Nap and 1-OH-Ace being the most abundant smoke biomarkers. DNA damage and oxidative stress were also elevated in exposed firefighters.",Oliveira et al. (2018)
"OH-Pyr, 1-OH-Nap, 2-OH-Nap, 2-OH-Flu, 3-OH-Flu, 1-OH-Phe, 2-OH-Phe, 3-OH-Phe, 4-OH-Phe",Wildland firefighters (n = 14),LC-MS/MS (on-line solid-phase extraction with 0.2 mL of urine),"Preshift median concentrations of OH-PAHs were higher than median concentrations reported for US population, with the exception of 1-OH-Nap, whereas 4-OH-Phe concentrations were associated with levoglucosan.",Adetona et al. (2017)
OH-Pyr,Wildland firefighters (n = 12),LC-FLD (solid-phase extraction of 10 mL of urine),"No significant difference reported in urinary mutagenicity between firefighters on burn days vs nonburn days, but a significant correlation was observed between urinary mutagenicity and urinary OH-Pyr.",Adetona et al. (2019)
"OH-Pyr, OH-Nap, OH-Flu, OH-Phe",Structural firefighters (n = 15),ELISA,Median concentrations for all OH-PAHs increased in urine from before to after 3Â h of training exercises. A 30-fold increase in OH-Pyr was reported with the highest levels in oriented strand board fire exercises.,Fent et al. (2019)
"OH-Pyr, OH-Phe, OH-Flu, OH-Nap",Structural firefighters (n = 34),LC-MS/MS (on-line solid-phase extraction with 0.1 mL of urine),Median concentrations for all OH-PAHs increased in urine from before to after 3Â h of training exercises. A 30-fold increase in OH-Pyr was observed with the highest levels observed in oriented strand board fire exercises.,Fent et al. (2014)
"OH-Pyr, 2-OH-Nap, 1-OH-Phe, 3-OH-Phe, 2-OH-Flu 9-OH-Flu",Wildland firefighters (n = 42),LC-MS/MS (dilution and direct injection); GC-HRMS (solid-phase extraction and derivatization),"Good mutual agreement between LC-MS/MS and GC-HRMS for OH-Pyr that was dependent on enzyme hydrolysis reaction times. 3-OH-Phe and 9-OH-Flu were positively correlated with OH-Pyr, with urinary OH-Pyr levels below the recommended biological exposure index.",Gill et al. (2019)
OH-Pyr,Wildland firefighters (n = 42),LC-MS/MS (dilution and direct injection),"OH-Pyr was detected in 71% of firefighter urine samples after deployment. Among the samples collected within 48Â h, OH-Pyr was correlated with estimated exposure. Lower urinary OH-Pyr was reported in firefighters with a high skin exposure mitigation index.",Cherry et al. (2019)
